donor_code,donor_name,year,recipient_iso3_code,usd_disbursement_crs,usd_disbursement_iati
4,France,2020,DPGC_X,222.536842,
4,France,2020,ECU,0.009732,
4,France,2020,EGY,0,
4,France,2020,F6_X,0,
4,France,2020,GAB,3.529921,
4,France,2020,HTI,0.010826,
4,France,2020,IND,0.293687,
4,France,2020,KEN,98.657043,1.3267829347
4,France,2020,LBN,1.25641,0.91304
4,France,2020,MAR,0,
4,France,2020,MDG,0.08392,0.084045332
4,France,2020,NAM,0.012536,
4,France,2020,PAK,0,
4,France,2020,PER,79.919708,79.891
4,France,2020,PHL,0.006051,
4,France,2020,PNG,0.015954,
4,France,2020,SEN,0,
4,France,2020,SYR,0.004558,
4,France,2020,THA,0.018234,
4,France,2020,TUN,3.537631,10.31141724
4,France,2020,TUR,0,
4,France,2020,UGA,11.467666,
4,France,2020,WLF,0,
4,France,2020,ZAF,0.031339,
4,France,2021,ARM,10.219428,0.022574161845
4,France,2021,BEN,0.083141,
4,France,2021,BFA,0.919266,
4,France,2021,BRA,0.021287,
4,France,2021,COG,0.011846,
4,France,2021,DPGC_X,241.473312,
4,France,2021,ECU,0,
4,France,2021,EGY,0.007096,
4,France,2021,F6_X,0,
4,France,2021,F8_X,47.30369,
4,France,2021,GHA,0.011575,
4,France,2021,GNQ,0.00207,
4,France,2021,IND,0.204784,
4,France,2021,IRQ,0.010643,
4,France,2021,JOR,0.385525,
4,France,2021,KEN,0,
4,France,2021,LBN,0.827815,0.82845
4,France,2021,MAR,0.034896,
4,France,2021,MDG,0.446107,0.42707781
4,France,2021,MLI,0.714286,
4,France,2021,MMR,0.082781,
4,France,2021,NAM,0.007031,
4,France,2021,NER,0.118259,
4,France,2021,PAK,0,
4,France,2021,PER,0.168125,3.7462639185
4,France,2021,PHL,0.041075,
4,France,2021,PNG,0.011826,
4,France,2021,SDN,0.354778,
4,France,2021,SEN,0,
4,France,2021,SYR,0.59508,
4,France,2021,THA,0.015374,
4,France,2021,TUN,0.006071,0.09326630925
4,France,2021,TUR,59.129612,59.175
4,France,2021,UGA,0.177389,
4,France,2021,UZB,0.002031,
4,France,2021,WLF,0.070956,
4,France,2021,ZAF,0.078805,0.0557842725
4,France,2022,ARM,13.956265,
4,France,2022,BFA,0,
4,France,2022,BGD,0.226102,0.227255
4,France,2022,BRA,0.031549,
4,France,2022,CMR,0.020139,
4,France,2022,COD,0.01262,
4,France,2022,DPGC_X,534.182867,
4,France,2022,EGY,0.00631,
4,France,2022,F6_X,0,
4,France,2022,F8_X,0,
4,France,2022,IND,0.244886,
4,France,2022,IRQ,1.438376,
4,France,2022,KEN,0.418005,0.356717417
4,France,2022,LBN,0.011572,
4,France,2022,MAR,0,
4,France,2022,MDG,0,
4,France,2022,NAM,0.005332,
4,France,2022,PAK,0,
4,France,2022,PER,42.065412,48.88871281
4,France,2022,PNG,0.010411,
4,France,2022,PSE,0.525818,
4,France,2022,SEN,0.01262,
4,France,2022,SYR,2.414511,
4,France,2022,THA,0.010569,
4,France,2022,TUN,0,0.08536830904
4,France,2022,TUR,52.681126,52.85
4,France,2022,UGA,0.157745,
4,France,2022,WLF,0,
4,France,2022,ZAF,0.015775,
4,France,2023,EGY,,1.5375
4,France,2023,MDG,,0.322875
4,France,2023,PER,,41.151528825
4,France,2023,RWA,,5.125
4,France,2023,TUN,,0.3813
4,France,2023,TUR,,51.25
5,Germany,2018,ARG,0.342842,
5,Germany,2018,ARM,4.975955,0.59075
5,Germany,2018,BGD,1.230379,0.2363
5,Germany,2018,BIH,0.072336,
5,Germany,2018,BOL,0.169362,0.175784716055
5,Germany,2018,BRA,1.98555,0.222535525
5,Germany,2018,CHN,4.26092,
5,Germany,2018,CMR,0.231323,
5,Germany,2018,COL,0.369461,0.3067174
5,Germany,2018,DOM,0.006591,0.006598453015
5,Germany,2018,DPGC_X,1.896797,0.981389345
5,Germany,2018,EGY,0.571365,
5,Germany,2018,ETH,1.18022,
5,Germany,2018,E_X,1.770329,1.77225
5,Germany,2018,F6_X,0.191061,
5,Germany,2018,F97_X,0.08467,15.3595
5,Germany,2018,F_X,0.004918,
5,Germany,2018,GEO,0,
5,Germany,2018,GTM,0.05989,
5,Germany,2018,HND,0.087926,
5,Germany,2018,HTI,0.393406,0.01057201474
5,Germany,2018,IDN,0.404208,0.40464725626
5,Germany,2018,IND,3.772208,0.42772878033
5,Germany,2018,IRN,0.069625,
5,Germany,2018,IRQ,19.805177,7.088999940925
5,Germany,2018,ISR,,0.224485
5,Germany,2018,KEN,0.775596,
5,Germany,2018,KGZ,0,
5,Germany,2018,KHM,0.267435,0.157550272105
5,Germany,2018,LAO,0.118022,0.11815
5,Germany,2018,LBN,11.270956,
5,Germany,2018,LBR,0.062802,
5,Germany,2018,MAR,0.028597,
5,Germany,2018,MDA,0.012281,0.012294559035
5,Germany,2018,MEX,83.939694,82.74357046921
5,Germany,2018,MKD,0.005174,0.00517934155
5,Germany,2018,MLI,0.118022,
5,Germany,2018,MMR,0.037797,
5,Germany,2018,MNG,0.017703,0.091212709755
5,Germany,2018,MOZ,,15.354874250275
5,Germany,2018,NAM,0.213861,
5,Germany,2018,NGA,0.71003,0.710799852
5,Germany,2018,NPL,0.011436,
5,Germany,2018,PAK,0.083837,0.00764999983
5,Germany,2018,PER,0.338226,
5,Germany,2018,PHL,0.125589,0.28769525
5,Germany,2018,PSE,21.857666,
5,Germany,2018,SDN,,-0.01376111954
5,Germany,2018,SLV,4.781632,1.302143969275
5,Germany,2018,THA,0.045527,0.04557733133
5,Germany,2018,TUR,0.168726,0.16890894136
5,Germany,2018,UGA,0.149128,0.6946908084
5,Germany,2018,UKR,23.67243,
5,Germany,2018,ZAF,5.706439,0.336878732
5,Germany,2018,ZMB,0.16649,
5,Germany,2019,AGO,0.00356,
5,Germany,2019,ARG,0.404189,0.007336089432
5,Germany,2019,ARM,9.423912,
5,Germany,2019,A_X,0.001567,
5,Germany,2019,BFA,0.077349,
5,Germany,2019,BGD,3.157543,3.599622858708
5,Germany,2019,BIH,0.251875,0.37316268
5,Germany,2019,BOL,0.099826,0.23570664498
5,Germany,2019,BRA,2.156298,0.004251647412
5,Germany,2019,CHN,4.734907,
5,Germany,2019,CMR,0.133437,0.18439812
5,Germany,2019,COL,1.553514,0.78829871616
5,Germany,2019,DOM,0.0062,0.00620045676
5,Germany,2019,DPGC_X,0.20403,0.11135771118
5,Germany,2019,EGY,0.495332,
5,Germany,2019,E_X,2.23889,1.1196
5,Germany,2019,F6_X,0.135435,
5,Germany,2019,F97_X,3.315905,13.4352
5,Germany,2019,GEO,2.23889,
5,Germany,2019,GTM,0.177228,
5,Germany,2019,HND,0.110825,
5,Germany,2019,HTI,0.373148,1.944604432692
5,Germany,2019,IDN,0.922402,0.922529362716
5,Germany,2019,IND,6.014647,55.978548505776
5,Germany,2019,IRQ,7.329877,81.873860775012
5,Germany,2019,KAZ,0.004461,0.004461606
5,Germany,2019,KEN,0.469095,0.674357550372
5,Germany,2019,KGZ,0.117159,
5,Germany,2019,KHM,0.13165,
5,Germany,2019,LAO,,-0.012769474644
5,Germany,2019,LBN,6.413299,27.99
5,Germany,2019,LBR,0.061793,
5,Germany,2019,MAR,0.022188,
5,Germany,2019,MEX,0.920723,
5,Germany,2019,MMR,0.680367,0.5911174512
5,Germany,2019,MNE,,0.37316268
5,Germany,2019,MNG,0,
5,Germany,2019,MOZ,0.559722,0.5598
5,Germany,2019,MWI,0.010991,
5,Germany,2019,NAM,3.734368,
5,Germany,2019,NGA,2.208743,2.209049474292
5,Germany,2019,PAK,0.043658,
5,Germany,2019,PER,0.405582,
5,Germany,2019,PHL,0.208692,
5,Germany,2019,PSE,6.862196,
5,Germany,2019,SLV,2.960243,
5,Germany,2019,SRB,0.011418,0.384694313688
5,Germany,2019,TCD,1.405134,1.4053286376
5,Germany,2019,THA,0.044235,0.044241251508
5,Germany,2019,TUR,2.626105,2.62646964
5,Germany,2019,UGA,0.239445,0.020546832024
5,Germany,2019,UKR,,10.0764
5,Germany,2019,ZAF,3.485572,
5,Germany,2019,ZMB,0.052303,
5,Germany,2020,ARG,0.291122,
5,Germany,2020,ARM,4.201272,22.826
5,Germany,2020,BDI,0.569801,0.57065
5,Germany,2020,BFA,0.027275,
5,Germany,2020,BGD,1.018861,0.506102842634
5,Germany,2020,BIH,4.695456,0.70829078
5,Germany,2020,BOL,0.089516,
5,Germany,2020,BRA,1.873986,0.713092023666
5,Germany,2020,BWA,0.006822,
5,Germany,2020,CHN,0,
5,Germany,2020,CMR,0.137493,0.76079058
5,Germany,2020,COD,0,
5,Germany,2020,COL,2.718917,1.47262418346
5,Germany,2020,CRI,0.094291,
5,Germany,2020,DPGC_X,3.574956,0.026996709655
5,Germany,2020,EGY,1.07236,0.5307045
5,Germany,2020,ETH,,0.057065
5,Germany,2020,E_X,0,
5,Germany,2020,F4_X,3.760684,
5,Germany,2020,F6_X,3.524739,
5,Germany,2020,F97_X,4.174253,5.7065
5,Germany,2020,GEO,5.698006,
5,Germany,2020,GNB,0.035072,
5,Germany,2020,GTM,0.136925,
5,Germany,2020,HND,0.085521,
5,Germany,2020,HTI,0.009961,1.151275692432
5,Germany,2020,IND,7.154929,0.35231931
5,Germany,2020,IRQ,5.079202,46.642091046145
5,Germany,2020,KEN,0.227986,0.125793812088
5,Germany,2020,KGZ,2.485008,0.052394332467
5,Germany,2020,KHM,0.059829,
