year,recipient_iso3_code,usd_disbursement_crs,usd_disbursement_iati,usd_disbursement_crs_t1,usd_disbursement_iati_t1,delta_iati,usd_disbursement_crs_fit,usd_disbursement_crs_lwr,usd_disbursement_crs_upr
2023,BRA,-25.7623167549035,51.885555815622,5.162115,16.806554475016,35.079001340606,-25.7623167549035,-36.0092449871966,-15.5153885226103
2018,F6_X,26.712849,3.49025470661,,,,,,
2019,F6_X,3.081705,1.77142688279846,26.712849,3.49025470661,-1.71882782381154,58.8827597474432,51.179792532049,66.5857269628374
2020,F6_X,14.474379,2.5059799822416,3.081705,1.77142688279846,0.73455309944314,-8.99994325316256,-16.686303970705,-1.31358253562013
2021,F6_X,4.667298,3.340752977595,14.474379,2.5059799822416,0.8347729953534,23.2924533041573,15.6772425772113,30.9076640311033
2022,F6_X,7.782626,8.8414892830125,4.667298,3.340752977595,5.5007363054175,-7.26483610885381,-14.8771175271912,0.347445309483537
2023,F6_X,0.89113735310616,7.39101234125,7.782626,8.8414892830125,-1.4504769417625,0.89113735310616,-6.64000637087886,8.42228107709118
2018,LBN,89.330279,6.92825089707,,,,,,
2019,LBN,115.495805,44.2877332923057,89.330279,6.92825089707,37.3594823952357,221.922617085334,210.908503500669,232.936730669999
2020,LBN,114.423578,102.097437562304,115.495805,44.2877332923057,57.8097042699983,265.688489699535,248.875319446926,282.501659952144
2021,LBN,58.633536,119.75654301954,114.423578,102.097437562304,17.6591054572358,241.401442412094,221.427527761662,261.375357062525
2022,LBN,50.015863,27.32832472894,58.633536,119.75654301954,-92.4282182905998,111.969586932716,90.6774890229972,133.261684842434
2023,LBN,93.7109313044699,70.1459486725,50.015863,27.32832472894,42.81762394356,93.7109313044699,81.7117985199129,105.710064089027
2018,NPL,194.153241,15.2353940674727,,,,,,
2019,NPL,139.893839,13.241826138462,194.153241,15.2353940674727,-1.99356792901072,533.561305798061,517.928461003718,549.194150592403
2020,NPL,159.290764,8.45265004741301,139.893839,13.241826138462,-4.78917609104894,379.701818024265,367.501148333337,391.902487715192
2021,NPL,89.132185,7.2977531991438,159.290764,8.45265004741301,-1.15489684826921,437.178546898353,423.696460583107,450.660633213599
2022,NPL,59.613202,5.8829575375465,89.132185,7.2977531991438,-1.4147956615973,236.041547140094,226.562070845538,245.521023434651
2023,NPL,152.803701625442,2.2778584958888,59.613202,5.8829575375465,-3.6050990416577,152.803701625442,144.405428847424,161.20197440346
2018,PHL,12.51809,1.61638649572867,,,,,,
2019,PHL,7.186479,5.47480878747195,12.51809,1.61638649572867,3.85842229174328,17.0610707490012,9.44689510416458,24.6752463938378
2020,PHL,7.011548,26.139803228253,7.186479,5.47480878747195,20.6649944407811,-7.20223782917191,-15.4233141011212,1.01883844277736
2021,PHL,4.889836,2.48782549712555,7.011548,26.139803228253,-23.6519777311275,-3.75146858197518,-12.3754115480608,4.87247438411041
2022,PHL,24.671833,13.4374566735909,4.889836,2.48782549712555,10.9496311764653,-8.1805900157191,-15.9068635070707,-0.454316524367464
2023,PHL,50.2993826385971,2.36738990713525,24.671833,13.4374566735909,-11.0700667664557,50.2993826385971,42.5101410264309,58.0886242507632
2018,SEN,3.854123,0.08298662,,,,,,
2019,SEN,5.195139,0.00130046769231648,3.854123,0.08298662,-0.0816861523076835,-5.39165156595546,-13.1527497126042,2.36944658069327
2020,SEN,2.732311,0.0825247351040141,5.195139,0.00130046769231648,0.0812242674116976,-1.54210554921416,-9.29462559170767,6.21041449327934
2021,SEN,1.715095,0.410301008852303,2.732311,0.0825247351040141,0.327776273748289,-8.77837351134418,-16.538803819617,-1.01794320307141
2022,SEN,3.383518,0.791892544925,1.715095,0.410301008852303,0.381591536072697,-11.9352231150725,-19.6896096996028,-4.18083653054217
2023,SEN,-7.50268847812623,1.50735598290075,3.383518,0.791892544925,0.71546343797575,-7.50268847812623,-15.2223133972678,0.216936441015354
2018,BFA,3.106463,0.033754243373,,,,,,
2019,BFA,6.874249,0.966817354577746,3.106463,0.033754243373,0.933063111204746,-7.90332289080698,-15.6511290831089,-0.155516698505108
2020,BFA,15.875781,4.79555725760401,6.874249,0.966817354577746,3.82873990302627,1.23711764779259,-6.41808420702933,8.89231950261451
2021,BFA,21.000391,7.8639019317448,15.875781,4.79555725760401,3.06834467414079,25.0154065064748,17.4849627455672,32.5458502673823
2022,BFA,9.683071,4.759297585088,21.000391,7.8639019317448,-3.1046043466568,40.198298572895,32.6341504616722,47.7624466841177
2023,BFA,6.1243339567157,10.6513089215,9.683071,4.759297585088,5.892011336412,6.1243339567157,-1.43432938431092,13.6829972977423
2018,GHA,4.286407,2.553521815274,,,,,,
2019,GHA,4.583521,1.91288039822086,4.286407,2.553521815274,-0.64064141705314,-5.49849494884309,-13.1742365298975,2.17724663221135
2020,GHA,2.494395,1.64728626049001,4.583521,1.91288039822086,-0.265594137730846,-4.3813342136945,-12.0694847058944,3.30681627850541
2021,GHA,1.454264,1.2858497461648,2.494395,1.64728626049001,-0.361436514325211,-10.1901289872054,-17.9058116089515,-2.47444636545932
2022,GHA,2.421047,1.36305073055,1.454264,1.2858497461648,0.0772009843851969,-13.1240686550635,-20.8532885587857,-5.39484875134127
2023,GHA,-10.5541644657963,1.8670792867345,2.421047,1.36305073055,0.5040285561845,-10.5541644657963,-18.2641673762843,-2.8441615553083
2018,MKD,0.134689,0.00517934155,,,,,,
2019,MKD,6.029025,0.000607503777746479,0.134689,0.00517934155,-0.00457183777225352,-16.0793334931974,-23.8726797676923,-8.28598721870248
2020,MKD,6.810273,0.00481956230401409,6.029025,0.000607503777746479,0.00421205852626761,0.88852685428184,-6.8612429312569,8.63829663982058
2021,MKD,0.39741,0.000863981839802817,6.810273,0.00481956230401409,-0.00395558046421127,3.13802049320516,-4.60801418827887,10.8840551746892
2022,MKD,0.39408,0,0.39741,0.000863981839802817,-0.000863981839802817,-15.3217153855793,-23.1126440091813,-7.53078676197724
2023,MKD,-15.3310863683199,0,0.39408,0,0,-15.3310863683199,-23.1220638081213,-7.54010892851859
2018,SYR,175.998058,127.19120551373,,,,,,
2019,SYR,194.869218,445.242768534128,175.998058,127.19120551373,318.051563020398,287.133536484063,217.159111535751,357.107961432374
