year,sector_code,recipient_iso3_code,usd_disbursement_crs,usd_disbursement_iati,usd_disbursement_crs_t1,usd_disbursement_iati_t1,delta_iati,usd_disbursement_crs_fit,usd_disbursement_crs_lwr,usd_disbursement_crs_upr
2014,16040,BOL,9.45956,9.30591887497575,4.857232,4.639311,4.66660787497575,3.40663495085753,0.612244952284808,6.20102494943025
2015,16040,BOL,0.05861,-0.292396900666888,9.45956,9.30591887497575,-9.59831577564264,3.86181191929885,1.06295525698451,6.66066858161319
2016,16040,BOL,0.123812,0.104272250579053,0.05861,-0.292396900666888,0.396669151245941,2.73147891559976,-0.0577568587873834,5.5207146899869
2017,16040,BOL,0.096034,0.09582300892242,0.123812,0.104272250579053,-0.00844924165663299,2.76823636496197,-0.0209621239824327,5.55743485390638
2018,16040,BOL,43.465795,0.0948162469232,0.096034,0.09582300892242,-0.00100676199922001,2.79291514958854,0.0021104795652569,5.58371981961182
2019,16040,BOL,0.531351,0.030004002,43.465795,0.0948162469232,-0.0648122449232,8.09530800982942,5.01303596463687,11.177580055022
2020,16040,BOL,0.234511,0.0683968538967,0.531351,0.030004002,0.0383928518967,2.90151044106415,0.103645414429208,5.6993754676991
2021,16040,BOL,1.4845,0.107433486336,0.234511,0.0683968538967,0.0390366324393,2.89415964181521,0.0899239740311129,5.6983953095993
2022,16040,BOL,0.093956,0.252548782971918,1.4845,0.107433486336,0.145115296635918,3.07653712253235,0.266179881428959,5.88689436363574
2023,16040,BOL,2.93202722266701,-0.00126548739072,0.093956,0.252548782971918,-0.253814270362638,2.93202722266701,0.111206187051703,5.75284825828232
2010,16030,IND,14.836557,0.009699215274,,,,,,
2011,16030,IND,30.867476,0,14.836557,0.009699215274,-0.009699215274,19.4534141223346,16.636011949801,22.2708162948683
2012,16030,IND,2.578671,0,30.867476,0,0,21.431400297966,18.6084539459638,24.2543466499683
2013,16030,IND,0.252315,0,2.578671,0,0,18.0185902945534,15.1580743467627,20.8791062423441
2014,16030,IND,14.268213,0,0.252315,0,0,17.7637155201523,14.8902318560668,20.6371991842379
2015,16030,IND,3.636185,125,14.268213,0,125,21.3570011105715,17.9431914144976,24.7708108066453
2016,16030,IND,2.52824,0,3.636185,125,-125,18.5029679789797,15.0399155945046,21.9660203634548
2017,16030,IND,13.678527,0,2.52824,0,0,18.1248196842331,15.2709899936775,20.9786493747886
2018,16030,IND,3.10445,0,13.678527,0,0,19.5091726151426,16.7082598536158,22.3100853766694
